C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 15:31:27,lagri,AutoCAD PDF (High Quality Print).pc3,ANSI A (8.50 x 11.00 дюймов),1:93.0776,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Лист1,14.03.2021 16:01:59,lagri,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\Чертеж1.dwg,Лист1,14.03.2021 16:03:50,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\Чертеж1.dwg,Лист1,14.03.2021 16:04:36,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Титул,14.03.2021 16:07:01,lagri,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:12:01,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:12:59,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:13:43,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:14:21,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:15:29,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:16:37,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:17:57,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:19:09,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
C:\Users\lagri\Desktop\MAShUROV_PV201.dwg,Модель,14.03.2021 16:20:42,lagri,DWG To PDF.pc3,ISO A3 (420.00 x 297.00 мм),1:1,
